"Filepath","File","Name","Extension","Filesize","Created","Modified","Retrieved","Error"
"B:\29xx   University House\2901\2901\F8 - Contract\File 2901 Contract Doc.pdf","File 2901 Contract Doc.pdf","File 2901 Contract Doc","pdf",12675326,"06/02/2019, 17:31:32","01/09/2015, 14:23:29","10/30/2019, 16:54:01",""
"B:\29xx   University House\2901\2901\G5 - UCSC Inspectors' Daily Reports\University House Inspection - July 1998.pdf","University House Inspection - July 1998.pdf","University House Inspection - July 1998","pdf",122314546,"06/02/2019, 17:31:32","10/17/2014, 15:00:45","10/30/2019, 16:54:01",""
"B:\29xx   University House\2901\2901-001\F5 - Drawings and Specifications\File 2901-001 01.TIF","File 2901-001 01.TIF","File 2901-001 01","tif",1431696,"06/02/2019, 17:31:30","12/21/2004, 09:02:24","10/30/2019, 16:54:01",""
"B:\29xx   University House\2901\2901-002\F5 - Drawings and Specifications\File 2901-002 01.TIF","File 2901-002 01.TIF","File 2901-002 01","tif",638884,"06/02/2019, 17:31:30","12/21/2004, 09:01:28","10/30/2019, 16:54:01",""
"B:\29xx   University House\2901\2901-003\A2 - Working Files\File 2901-003 Facilties Project Request.pdf","File 2901-003 Facilties Project Request.pdf","File 2901-003 Facilties Project Request","pdf",255480,"06/02/2019, 17:31:30","08/25/2014, 12:40:14","10/30/2019, 16:54:01",""
"B:\29xx   University House\2901\2901-003\F5 - Drawings and Specifications\File 2901-003 01.TIF","File 2901-003 01.TIF","File 2901-003 01","tif",3276112,"06/02/2019, 17:31:30","12/21/2004, 08:49:29","10/30/2019, 16:54:01",""
"B:\29xx   University House\2901\2901-003\F5 - Drawings and Specifications\File 2901-003 Dwg.pdf","File 2901-003 Dwg.pdf","File 2901-003 Dwg","pdf",726068,"06/02/2019, 17:31:30","08/26/2014, 15:38:24","10/30/2019, 16:54:01",""
"B:\29xx   University House\2901\2901-003\F5 - Drawings and Specifications\File 2901-003 Plumbing Plot Plan Sheet P.1.pdf","File 2901-003 Plumbing Plot Plan Sheet P.1.pdf","File 2901-003 Plumbing Plot Plan Sheet P.1","pdf",503335,"06/02/2019, 17:31:31","08/25/2014, 14:56:36","10/30/2019, 16:54:01",""
"B:\29xx   University House\2901\2901-004\F5 - Drawings and Specifications\File 2901-004 01.TIF","File 2901-004 01.TIF","File 2901-004 01","tif",15362284,"06/02/2019, 17:31:31","12/21/2004, 08:59:31","10/30/2019, 16:54:01",""
"B:\29xx   University House\2901\2901-005\F5 - Drawings and Specifications\File 2901-005 01.TIF","File 2901-005 01.TIF","File 2901-005 01","tif",2770804,"06/02/2019, 17:31:31","12/21/2004, 10:56:01","10/30/2019, 16:54:01",""
"B:\29xx   University House\2901\2901-006\F5 - Drawings and Specifications\File 2901-006 01.TIF","File 2901-006 01.TIF","File 2901-006 01","tif",1158248,"06/02/2019, 17:31:31","12/21/2004, 08:54:26","10/30/2019, 16:54:01",""
"B:\29xx   University House\2901\2901-008\F5 - Drawings and Specifications\File 2901-008 01.TIF","File 2901-008 01.TIF","File 2901-008 01","tif",2736668,"06/02/2019, 17:31:31","12/21/2004, 08:51:44","10/30/2019, 16:54:01",""
"B:\29xx   University House\2903\2903\F5 - Drawings and Specifications\File 2903 I 01.TIF","File 2903 I 01.TIF","File 2903 I 01","tif",2406280,"06/02/2019, 17:31:34","12/21/2004, 09:09:12","10/30/2019, 16:54:01",""
"B:\29xx   University House\2903\2903-001\F5 - Drawings and Specifications\File 2903-001 UH Irrig.bak","File 2903-001 UH Irrig.bak","File 2903-001 UH Irrig","bak",100075,"06/02/2019, 17:31:34","10/22/2003, 14:52:24","10/30/2019, 16:54:01",""
"B:\29xx   University House\2903\2903-001\F5 - Drawings and Specifications\File 2903-001 UH Irrig.dwg","File 2903-001 UH Irrig.dwg","File 2903-001 UH Irrig","dwg",97006,"06/02/2019, 17:31:34","11/19/2003, 10:52:07","10/30/2019, 16:54:01",""
"B:\29xx   University House\2904\2904\F5 - Drawings and Specifications\01 File 2904 A 01.TIF","01 File 2904 A 01.TIF","01 File 2904 A 01","tif",3066092,"06/02/2019, 17:31:34","11/06/2003, 08:15:08","10/30/2019, 16:54:01",""
"B:\29xx   University House\2904\2904\F5 - Drawings and Specifications\02 File 2904 A 02.TIF","02 File 2904 A 02.TIF","02 File 2904 A 02","tif",2999424,"06/02/2019, 17:31:34","11/06/2003, 08:15:13","10/30/2019, 16:54:01",""
"B:\29xx   University House\2904\2904\F5 - Drawings and Specifications\03 File 2904 A 03.TIF","03 File 2904 A 03.TIF","03 File 2904 A 03","tif",2081528,"06/02/2019, 17:31:34","11/06/2003, 08:15:51","10/30/2019, 16:54:01",""
"B:\29xx   University House\2904\2904\F5 - Drawings and Specifications\04 File 2904 A 04.TIF","04 File 2904 A 04.TIF","04 File 2904 A 04","tif",1912172,"06/02/2019, 17:31:34","11/06/2003, 08:15:55","10/30/2019, 16:54:01",""
"B:\29xx   University House\2904\2904\F5 - Drawings and Specifications\05 File 2904 A 05.TIF","05 File 2904 A 05.TIF","05 File 2904 A 05","tif",2863452,"06/02/2019, 17:31:34","11/06/2003, 08:15:59","10/30/2019, 16:54:01",""
"B:\29xx   University House\2904\2904\F5 - Drawings and Specifications\06 File 2904 E 01 AB.TIF","06 File 2904 E 01 AB.TIF","06 File 2904 E 01 AB","tif",1771188,"06/02/2019, 17:31:34","11/06/2003, 08:16:02","10/30/2019, 16:54:01",""
"B:\29xx   University House\2904\2904\F5 - Drawings and Specifications\07 File 2904 E 01.TIF","07 File 2904 E 01.TIF","07 File 2904 E 01","tif",1834536,"06/02/2019, 17:31:34","11/06/2003, 08:16:06","10/30/2019, 16:54:01",""
"B:\29xx   University House\2904\2904\F5 - Drawings and Specifications\08 File 2904 MP 01.TIF","08 File 2904 MP 01.TIF","08 File 2904 MP 01","tif",2186876,"06/02/2019, 17:31:34","11/06/2003, 08:16:10","10/30/2019, 16:54:01",""
"B:\29xx   University House\2904\2904\F5 - Drawings and Specifications\09 File 2904 MP 02.TIF","09 File 2904 MP 02.TIF","09 File 2904 MP 02","tif",1159712,"06/02/2019, 17:31:34","11/06/2003, 08:16:13","10/30/2019, 16:54:01",""
"B:\29xx   University House\2904\2904\F5 - Drawings and Specifications\CAD\UniHseE-1.bak","UniHseE-1.bak","UniHseE-1","bak",319410,"06/02/2019, 17:31:34","11/13/2001, 12:32:30","10/30/2019, 16:54:01",""
"B:\29xx   University House\2904\2904\F5 - Drawings and Specifications\CAD\UniHseE-1.dwg","UniHseE-1.dwg","UniHseE-1","dwg",319413,"06/02/2019, 17:31:34","11/13/2001, 12:36:29","10/30/2019, 16:54:01",""
"B:\29xx   University House\2904\2904A\F5 - Drawings and Specifications\File 2904A.pdf","File 2904A.pdf","File 2904A","pdf",636271,"06/02/2019, 17:31:34","08/03/2016, 16:25:03","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\A-General\A2- Working File\Proposal for University House Renovation.pdf","Proposal for University House Renovation.pdf","Proposal for University House Renovation","pdf",627915,"06/02/2019, 17:31:35","09/01/2010, 16:07:08","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\B- Administrative Reviews and Approvals\B2- Office of the President-UC Regents\Reviews & Approvals- Office of the President.pdf","Reviews & Approvals- Office of the President.pdf","Reviews & Approvals- Office of the President","pdf",3218456,"06/02/2019, 17:31:35","09/02/2010, 10:25:33","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\B- Administrative Reviews and Approvals\B7- Office of State Architect\DSA Reviews & Approvals.pdf","DSA Reviews & Approvals.pdf","DSA Reviews & Approvals","pdf",390004,"06/02/2019, 17:31:35","09/02/2010, 09:35:14","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\C-Consultants\C1-Executive Architect\C1.3- Agreement\File 2905 Clarke Construction Professional Services Agreement.pdf","File 2905 Clarke Construction Professional Services Agreement.pdf","File 2905 Clarke Construction Professional Services Agreement","pdf",5495506,"06/02/2019, 17:31:35","08/12/2011, 13:35:45","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\C-Consultants\C2- Other Consultants\C2.3-Agreement\Agreement to Perform Professional Services.pdf","Agreement to Perform Professional Services.pdf","Agreement to Perform Professional Services","pdf",518393,"06/02/2019, 17:31:35","09/01/2010, 15:08:51","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\E- Program and Design\E2- PPG\Project Planning Guide Draft- November 1998.pdf","Project Planning Guide Draft- November 1998.pdf","Project Planning Guide Draft- November 1998","pdf",665789,"06/02/2019, 17:31:35","09/02/2010, 10:37:43","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\E- Program and Design\E3- Budget-Cost Estimates\Cost Estimates.pdf","Cost Estimates.pdf","Cost Estimates","pdf",5241837,"06/02/2019, 17:31:35","08/31/2010, 13:57:50","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\E- Program and Design\E4- Schedules\May 2005 Construction Schedules.pdf","May 2005 Construction Schedules.pdf","May 2005 Construction Schedules","pdf",80848,"06/02/2019, 17:31:35","09/01/2010, 14:48:36","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\E- Program and Design\E5- Correspondence\E5.1\Correspondance To & From Executive Architect.pdf","Correspondance To & From Executive Architect.pdf","Correspondance To & From Executive Architect","pdf",396747,"06/02/2019, 17:31:35","09/01/2010, 15:42:44","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\E- Program and Design\E5- Correspondence\E5.3\Correspondance- Users, Building Committee & Campus.pdf","Correspondance- Users, Building Committee & Campus.pdf","Correspondance- Users, Building Committee & Campus","pdf",393529,"06/02/2019, 17:31:35","08/31/2010, 15:27:14","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\E- Program and Design\E7- Value Engineering\Value Engineering.pdf","Value Engineering.pdf","Value Engineering","pdf",567856,"06/02/2019, 17:31:35","09/02/2010, 10:09:38","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\E- Program and Design\E8- Meeting Minutes\Meeting Minutes.pdf","Meeting Minutes.pdf","Meeting Minutes","pdf",4003335,"06/02/2019, 17:31:35","09/01/2010, 14:33:47","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F4- Plan Deposits\Request to Have Brief Form Contract Written.pdf","Request to Have Brief Form Contract Written.pdf","Request to Have Brief Form Contract Written","pdf",503653,"06/02/2019, 17:31:35","08/31/2010, 14:21:20","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5 - Drawings and Specifications\90% CD\01 File 2905 A0.TIF","01 File 2905 A0.TIF","01 File 2905 A0","tif",496252,"06/02/2019, 17:31:36","06/07/2005, 13:49:27","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5 - Drawings and Specifications\90% CD\02 File 2905 A.1.TIF","02 File 2905 A.1.TIF","02 File 2905 A.1","tif",1148886,"06/02/2019, 17:31:36","11/05/2014, 16:14:20","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5 - Drawings and Specifications\90% CD\03 File 2905 A.2.TIF","03 File 2905 A.2.TIF","03 File 2905 A.2","tif",1565910,"06/02/2019, 17:31:36","11/05/2014, 16:15:07","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5 - Drawings and Specifications\90% CD\04 File 2905 A.3.TIF","04 File 2905 A.3.TIF","04 File 2905 A.3","tif",369796,"06/02/2019, 17:31:36","06/07/2005, 13:49:42","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5 - Drawings and Specifications\90% CD\05 File 2905 A.4.TIF","05 File 2905 A.4.TIF","05 File 2905 A.4","tif",217884,"06/02/2019, 17:31:36","06/07/2005, 13:49:46","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5 - Drawings and Specifications\90% CD\06 File 2905 A.5.TIF","06 File 2905 A.5.TIF","06 File 2905 A.5","tif",247968,"06/02/2019, 17:31:36","06/07/2005, 13:49:50","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5 - Drawings and Specifications\90% CD\07 File 2905 A.6.TIF","07 File 2905 A.6.TIF","07 File 2905 A.6","tif",328268,"06/02/2019, 17:31:36","06/07/2005, 13:49:55","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5 - Drawings and Specifications\90% CD\08 File 2905 A.7.TIF","08 File 2905 A.7.TIF","08 File 2905 A.7","tif",312088,"06/02/2019, 17:31:36","06/07/2005, 13:49:57","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5 - Drawings and Specifications\90% CD\90 CD Combined.pdf","90 CD Combined.pdf","90 CD Combined","pdf",1957063,"06/02/2019, 17:31:36","11/10/2014, 08:13:25","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5 - Drawings and Specifications\Bid Set-Addendum 1\01 File 2905 A.0.TIF","01 File 2905 A.0.TIF","01 File 2905 A.0","tif",1687888,"06/02/2019, 17:31:36","06/14/2005, 12:14:47","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5 - Drawings and Specifications\Bid Set-Addendum 1\02 File 2905 A.1.TIF","02 File 2905 A.1.TIF","02 File 2905 A.1","tif",1211716,"06/02/2019, 17:31:36","06/14/2005, 12:14:54","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5 - Drawings and Specifications\Bid Set-Addendum 1\03 File 2905 A.2.TIF","03 File 2905 A.2.TIF","03 File 2905 A.2","tif",1443020,"06/02/2019, 17:31:36","06/14/2005, 12:15:02","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5 - Drawings and Specifications\Bid Set-Addendum 1\04 File 2905 A.3.TIF","04 File 2905 A.3.TIF","04 File 2905 A.3","tif",1201068,"06/02/2019, 17:31:36","06/14/2005, 12:15:06","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5 - Drawings and Specifications\Bid Set-Addendum 1\05 File 2905 A.4.TIF","05 File 2905 A.4.TIF","05 File 2905 A.4","tif",789584,"06/02/2019, 17:31:36","06/14/2005, 12:15:12","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5 - Drawings and Specifications\Bid Set-Addendum 1\06 File 2905 A.5.TIF","06 File 2905 A.5.TIF","06 File 2905 A.5","tif",918668,"06/02/2019, 17:31:36","06/14/2005, 12:15:48","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5 - Drawings and Specifications\Bid Set-Addendum 1\07 File 2905 A.6.TIF","07 File 2905 A.6.TIF","07 File 2905 A.6","tif",1171956,"06/02/2019, 17:31:36","06/14/2005, 12:17:42","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5 - Drawings and Specifications\Bid Set-Addendum 1\08 File 2905 A.7.TIF","08 File 2905 A.7.TIF","08 File 2905 A.7","tif",1161736,"06/02/2019, 17:31:36","06/14/2005, 12:18:30","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5- Drawings,Specifications, Addenda\2905 adden 1.pdf","2905 adden 1.pdf","2905 adden 1","pdf",551929,"06/02/2019, 17:31:36","06/15/2005, 14:58:25","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5- Drawings,Specifications, Addenda\2905 addendum 2.pdf","2905 addendum 2.pdf","2905 addendum 2","pdf",23935,"06/02/2019, 17:31:36","06/28/2005, 17:06:50","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5- Drawings,Specifications, Addenda\2905 Contract Doc.pdf.pdf","2905 Contract Doc.pdf.pdf","2905 Contract Doc.pdf","pdf",14949227,"06/02/2019, 17:31:36","06/07/2005, 13:47:23","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5- Drawings,Specifications, Addenda\acad.err","acad.err","acad","err",2853,"06/02/2019, 17:31:36","09/25/2008, 13:46:17","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5- Drawings,Specifications, Addenda\Bidding Documents.pdf","Bidding Documents.pdf","Bidding Documents","pdf",423494,"06/02/2019, 17:31:36","08/31/2010, 15:13:31","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5- Drawings,Specifications, Addenda\File 2901 21 E 01.tif","File 2901 21 E 01.tif","File 2901 21 E 01","tif",25208178,"06/02/2019, 17:31:36","09/23/2008, 15:36:45","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5- Drawings,Specifications, Addenda\File 2905 FloorPlan-Base.bak","File 2905 FloorPlan-Base.bak","File 2905 FloorPlan-Base","bak",208032,"06/02/2019, 17:31:37","12/15/2008, 15:55:13","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5- Drawings,Specifications, Addenda\File 2905 FloorPlan-Base.dwg","File 2905 FloorPlan-Base.dwg","File 2905 FloorPlan-Base","dwg",172258,"06/02/2019, 17:31:37","01/30/2009, 15:11:50","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5- Drawings,Specifications, Addenda\plot.log","plot.log","plot","log",2010,"06/02/2019, 17:31:37","09/30/2008, 14:52:30","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5- Drawings,Specifications, Addenda\UHouse-Electrical & Lightning E1 (1).pdf","UHouse-Electrical & Lightning E1 (1).pdf","UHouse-Electrical & Lightning E1 (1)","pdf",751316,"06/02/2019, 17:31:37","12/17/2008, 10:40:16","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5- Drawings,Specifications, Addenda\UHouse-Electrical & Lightning.bak","UHouse-Electrical & Lightning.bak","UHouse-Electrical & Lightning","bak",598761,"06/02/2019, 17:31:37","10/14/2008, 11:22:45","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5- Drawings,Specifications, Addenda\UHouse-Electrical & Lightning.dwg","UHouse-Electrical & Lightning.dwg","UHouse-Electrical & Lightning","dwg",598409,"06/02/2019, 17:31:37","10/14/2008, 15:36:29","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5- Drawings,Specifications, Addenda\UHouse-Electrical & Lightning_recover.bak","UHouse-Electrical & Lightning_recover.bak","UHouse-Electrical & Lightning_recover","bak",301074,"06/02/2019, 17:31:37","09/24/2008, 15:37:14","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5- Drawings,Specifications, Addenda\UHouse-Electrical & Lightning_recover000.bak","UHouse-Electrical & Lightning_recover000.bak","UHouse-Electrical & Lightning_recover000","bak",316502,"06/02/2019, 17:31:37","09/25/2008, 14:46:46","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5- Drawings,Specifications, Addenda\UHouse-Electrical & Lightning_recover000.dwg","UHouse-Electrical & Lightning_recover000.dwg","UHouse-Electrical & Lightning_recover000","dwg",322462,"06/02/2019, 17:31:37","09/25/2008, 15:20:35","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5- Drawings,Specifications, Addenda\UniHseE-1.bak","UniHseE-1.bak","UniHseE-1","bak",228032,"06/02/2019, 17:31:37","12/12/2008, 16:42:55","10/30/2019, 16:54:01",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5- Drawings,Specifications, Addenda\UniHseE-1.dwg","UniHseE-1.dwg","UniHseE-1","dwg",190836,"06/02/2019, 17:31:37","01/30/2009, 15:11:00","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5- Drawings,Specifications, Addenda\CAD\File 2905 FloorPlan-Base.dwg","File 2905 FloorPlan-Base.dwg","File 2905 FloorPlan-Base","dwg",259640,"06/02/2019, 17:31:37","12/11/2007, 15:41:43","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5- Drawings,Specifications, Addenda\CAD\U-HSE-SA.bak","U-HSE-SA.bak","U-HSE-SA","bak",245294,"06/02/2019, 17:31:37","02/21/2006, 10:16:13","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5- Drawings,Specifications, Addenda\CAD\U-HSE-SA.DWG","U-HSE-SA.DWG","U-HSE-SA","dwg",248750,"06/02/2019, 17:31:37","09/15/2008, 13:19:14","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F5- Drawings,Specifications, Addenda\Preliminary\2905 90% Techincal Specs.pdf","2905 90% Techincal Specs.pdf","2905 90% Techincal Specs","pdf",2728379,"06/02/2019, 17:31:37","06/07/2005, 13:48:02","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F8 - Contract\2905.F8.Contract Documents.pdf","2905.F8.Contract Documents.pdf","2905.F8.Contract Documents","pdf",20852226,"06/02/2019, 17:31:37","06/29/2016, 14:25:38","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F8 - Contract\2905.F8.Notice to Proceed.pdf","2905.F8.Notice to Proceed.pdf","2905.F8.Notice to Proceed","pdf",44898,"06/02/2019, 17:31:38","06/29/2016, 14:15:07","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\F-Bid Documents and Contract Award\F8 - Contract\Notification to Commence Work.pdf","Notification to Commence Work.pdf","Notification to Commence Work","pdf",118019,"06/02/2019, 17:31:38","09/02/2010, 10:55:07","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\G- Construction\G1-Correspondence\G1.1\Contractor Correspondance.pdf","Contractor Correspondance.pdf","Contractor Correspondance","pdf",1010417,"06/02/2019, 17:31:38","09/02/2010, 10:59:33","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\G- Construction\G1-Correspondence\G1.2\Executive Architect-Consultants Correspondance.pdf","Executive Architect-Consultants Correspondance.pdf","Executive Architect-Consultants Correspondance","pdf",969015,"06/02/2019, 17:31:38","09/02/2010, 09:48:27","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\G- Construction\G10- Testing and Inspection Reports-Other\Wood Destroying Pests & Organisms Inspection Report.pdf","Wood Destroying Pests & Organisms Inspection Report.pdf","Wood Destroying Pests & Organisms Inspection Report","pdf",512969,"06/02/2019, 17:31:38","09/01/2010, 15:45:58","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\G- Construction\G11- Proposal Request\Proposal Bulletin & General Oven Information.pdf","Proposal Bulletin & General Oven Information.pdf","Proposal Bulletin & General Oven Information","pdf",989367,"06/02/2019, 17:31:38","09/02/2010, 08:41:19","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\G- Construction\G11- Proposal Request\Proposal Request #01.pdf","Proposal Request #01.pdf","Proposal Request #01","pdf",26942,"06/02/2019, 17:31:38","09/02/2010, 09:00:24","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\G- Construction\G11- Proposal Request\Proposal Request #02.pdf","Proposal Request #02.pdf","Proposal Request #02","pdf",27906,"06/02/2019, 17:31:38","09/02/2010, 09:00:14","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\G- Construction\G11- Proposal Request\Proposal Request #03.pdf","Proposal Request #03.pdf","Proposal Request #03","pdf",46126,"06/02/2019, 17:31:38","09/02/2010, 08:59:53","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\G- Construction\G11- Proposal Request\Proposal Request #04.pdf","Proposal Request #04.pdf","Proposal Request #04","pdf",55646,"06/02/2019, 17:31:38","09/02/2010, 08:59:44","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\G- Construction\G11- Proposal Request\Proposal Request #05.pdf","Proposal Request #05.pdf","Proposal Request #05","pdf",71846,"06/02/2019, 17:31:38","09/02/2010, 08:59:32","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\G- Construction\G11- Proposal Request\Proposal Request #06.pdf","Proposal Request #06.pdf","Proposal Request #06","pdf",66014,"06/02/2019, 17:31:38","09/02/2010, 08:59:18","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\G- Construction\G11- Proposal Request\Proposal Request #07.pdf","Proposal Request #07.pdf","Proposal Request #07","pdf",77810,"06/02/2019, 17:31:38","09/02/2010, 08:53:57","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\G- Construction\G11- Proposal Request\Proposal Request #08.pdf","Proposal Request #08.pdf","Proposal Request #08","pdf",27218,"06/02/2019, 17:31:38","09/02/2010, 08:53:42","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\G- Construction\G11- Proposal Request\Proposal Request #09.pdf","Proposal Request #09.pdf","Proposal Request #09","pdf",28474,"06/02/2019, 17:31:38","09/02/2010, 08:53:33","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\G- Construction\G11- Proposal Request\Proposal Request #10.pdf","Proposal Request #10.pdf","Proposal Request #10","pdf",1593869,"06/02/2019, 17:31:38","09/02/2010, 09:24:46","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\G- Construction\G11- Proposal Request\Proposal Request #11.pdf","Proposal Request #11.pdf","Proposal Request #11","pdf",514019,"06/02/2019, 17:31:38","09/02/2010, 08:51:26","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\G- Construction\G11- Proposal Request\Proposal Request #12.pdf","Proposal Request #12.pdf","Proposal Request #12","pdf",25618,"06/02/2019, 17:31:38","09/02/2010, 08:43:56","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\G- Construction\G11- Proposal Request\Proposal Request #13.pdf","Proposal Request #13.pdf","Proposal Request #13","pdf",25578,"06/02/2019, 17:31:38","09/02/2010, 08:43:43","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\G- Construction\G11- Proposal Request\Proposal Request #14.pdf","Proposal Request #14.pdf","Proposal Request #14","pdf",30962,"06/02/2019, 17:31:38","09/02/2010, 08:43:34","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\G- Construction\G12- Request for Information\Request For Information Spec No. 15400.pdf","Request For Information Spec No. 15400.pdf","Request For Information Spec No. 15400","pdf",99782,"06/02/2019, 17:31:38","08/31/2010, 14:13:58","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\G- Construction\G15-Change Orders\2905.G15.Change Orders.pdf","2905.G15.Change Orders.pdf","2905.G15.Change Orders","pdf",666115,"06/02/2019, 17:31:38","06/29/2016, 14:15:06","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\G- Construction\G15-Change Orders\Change Request #01.pdf","Change Request #01.pdf","Change Request #01","pdf",209128,"06/02/2019, 17:31:38","08/31/2010, 14:09:48","10/30/2019, 16:54:02",""
"B:\29xx   University House\2905\2905\G- Construction\G15-Change Orders\Change Request #14.pdf","Change Request #14.pdf","Change Request #14","pdf",245406,"06/02/2019, 17:31:38","08/31/2010, 13:25:07","10/30/2019, 16:54:02",""
